cells;bytes;build_duration_nanosec;build_duration_total_nanosec;retr_duration_avg_nanosec;algorithm;table
205989651;17562995312;12644208086;70681411011;547;baseline;open_data_mate_main_tokenized
137332616;15286883288;10067244945;68957658949;462;baseline;open_data_mate_main_tokenized
68666269;7644110272;5261213419;62223297964;437;baseline;open_data_mate_main_tokenized
274658645;30575407336;19104364238;66218645082;547;baseline;open_data_mate_main_tokenized
247190379;5641881688;24119048263;96806894278;1908;dedup_btree;open_data_mate_main_tokenized
205988763;4810269272;21605966759;91759572518;1843;dedup_btree;open_data_mate_main_tokenized
137341283;3277628928;15402714353;80915937938;1704;dedup_btree;open_data_mate_main_tokenized
68652659;1715295256;8772273153;68619407015;1797;dedup_btree;open_data_mate_main_tokenized
274658645;6294628512;19954534805;73677929029;1959;dedup_btree;open_data_mate_main_tokenized
9187865;5612220440;24433624920;90611013639;463;dedup_hash;open_data_mate_main_tokenized
8019372;4903764184;21315835465;84562578153;459;dedup_hash;open_data_mate_main_tokenized
5940405;3119473760;15095588357;78938181356;371;dedup_hash;open_data_mate_main_tokenized
3545537;1575760320;8102117718;65975936585;402;dedup_hash;open_data_mate_main_tokenized
9940801;6186434792;18070537192;54071894126;477;dedup_hash;open_data_mate_main_tokenized
247192179;3047639008;28148645724;56706917326;711;ns;open_data_mate_main_tokenized
205987064;2721039256;28816638282;74518555819;684;ns;open_data_mate_main_tokenized
137336740;1690869920;20384580610;74096676342;1049;ns;open_data_mate_main_tokenized
68667338;864821376;11157933700;64054658742;430;ns;open_data_mate_main_tokenized
274658645;3323047312;29391296868;69197929430;635;ns;open_data_mate_main_tokenized
