table;values;distinct_values;mean_cardinality;avg_cell_len;avg_tableid;avg_colid;avg_rowid
mate_main_tokenized;37849251;0;inf;0;72571786.90894113;4.684806444386442;152.8313731492335
main_tokenized_embedding;87700361;768260;114.15453231978758;1.7114943574747656;67751666.58365846;9.074453878245723;59.46967534147323
main_tokenized;101529655;768260;132.1553315283888;1.6145821336633124;69778591.69498174;9.646693244451583;52.57549355407541
cocoa_main_tokenized;112772902;768260;146.7900216072684;1.5533094466257507;75006089.37703046;9.732020525640104;59.42165528381987
open_data_mate_main_tokenized;274658645;9940801;27.62942795052431;8.69676052614328;5185.6241209775135;682.5813002172206;60137.631704354324
open_data_main_tokenized;799930934;19776045;40.44948997638304;7.986371162138355;9939.454180108005;267.5812127663011;1058475.1833108694
gittables_main_tokenized;1588021298;97488581;16.28930569827455;12.468851436021483;849482.2992762141;18.848093896911955;476.73429396977775
