rows;cols;tableids
0;0;0
1467844823;3034215492;252
851074121;2063304892;672
1077328676;1738409220;1491
1214710081;910524185;11059
1051435869;435897655;8899
789054601;117041939;12184
635992383;15130443;25191
457503264;0;22912
365859547;0;73630
223076090;0;41025
113920664;0;43827
49116249;0;80821
15061514;0;220497
2178914;0;401242
296474;0;784271
70556;0;1121835
0;0;3249799
0;0;5450660
0;0;16498287
0;0;21756638
0;0;58380906
0;0;135632523
0;0;257228989
0;0;491125973
0;0;890058062
0;0;1858000731
0;0;3943400413
0;0;630891037
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
